S.No,Brand,Model,Screen_Size,Color,Hard_disk,CPU,RAM,OS,Special_features,Graphics,Graphics_Co-Processor,CPU_speed,Rating, Price ,Sale Product Count, Total Sales ,Total Stock
618,Lenovo,Lenovo thinkpad,14 Inches,Black,1 TB,Core i7,16 GB,Windows 10 Pro,Backlit Keyboard,Integrated,N/A,N/A,4.7," $2,299.00 ",60," $1,37,940.00 ",335
619,ROKC,N/A,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,5," $1,681.99 ",52," $87,463.48 ",306
620,HP,N/A,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,4.4," $1,267.99 ",25," $31,699.75 ",425
621,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,N/A,Integrated,Intel,N/A,0, $999.99 ,60," $59,999.40 ",173
622,ASUS,ASUS Rog Strix,17.3 Inches,Black,N/A,8032,16 GB,Windows 10 Home,N/A,Dedicated,N/A,N/A,4.3," $2,902.90 ",45," $1,30,630.50 ",301
623,Lenovo,ThinkPad X13 Yoga Gen 2,12.3 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Pro,"Fingerprint Reader, HD Audio, Backlit Keyboard",Integrated,N/A,N/A,4," $2,699.00 ",33," $89,067.00 ",346
624,acer,TravelMate Vero V15-51,15.6 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Pro,Information Not Available,Iris Xe Graphics,N/A,N/A,0," $1,853.99 ",47," $87,137.53 ",409
625,Apple,MacBook Air M2,13.6 Inches,N/A,512 GB,Apple M1,16 GB,macOS 12 Monterey,N/A,Integrated,N/A,3.49 GHz,0, $389.99 ,12," $4,679.88 ",210
626,Lenovo,Chromebook,11.6 Inches,Abyss Blue,32 GB,Celeron,4 GB,Chrome OS,N/A,Integrated,UHD Graphics 600,N/A,3.9," $1,229.99 ",25," $30,749.75 ",414
627,Lenovo,N/A,14 Inches,N/A,N/A,N/A,8 GB,Windows 11 Pro,N/A,Integrated,N/A,N/A,0," $1,037.99 ",26," $26,987.74 ",338
628,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,N/A,Integrated,Intel,N/A,0, $589.99 ,22," $12,979.78 ",411
629,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0, $822.99 ,36," $29,627.64 ",201
630,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5, $589.99 ,46," $27,139.54 ",512
631,acer,Acer Chromebook,11.6 Inches,Silver,32 GB,MediaTek MT8183,32 GB,Chrome OS,HD Audio,Integrated,N/A,N/A,4.1, $389.99 ,26," $10,139.74 ",371
632,Dell,Latitude 5000,13.3 Inches,Gray,1024 GB,Core i7,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,N/A,N/A,3.9, $999.99 ,21," $20,999.79 ",495
633,Dell,Latitude,15.6 Inches,N/A,256 GB,Core i7,8 GB,Windows 11 Pro,Anti-glare Screen,Integrated,Intel,N/A,0, $899.99 ,48," $43,199.52 ",417
634,Lenovo,Chromebook S330,14 Inches,Black,64 GB,MediaTek_MT8127,4 GB,Chrome OS,Anti-glare,Integrated,N/A,N/A,4," $1,599.00 ",54," $86,346.00 ",298
635,HP,N/A,15.6 Inches,N/A,512 GB,Core i7,16 GB,Windows 10 Pro,N/A,Integrated,N/A,2.6 GHz,0, $999.99 ,61," $60,999.39 ",297
636,HP,HP Chromebook 11,11.6 Inches,Black,16 GB,Celeron,4 GB,Chrome OS,"Anti-glare,Anti-glare Screen",Integrated,N/A,N/A,4.3, $299.88 ,34," $10,195.92 ",417
637,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0," $1,960.77 ",64," $1,25,489.28 ",501
638,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5, $259.95 ,18," $4,679.10 ",515
639,acer,CB314-3HT-P6QW,14 Inches,Silver,64 GB,Pentium,8 GB,Chrome OS,N/A,Integrated,Intel UHD Graphics,N/A,3.5," $1,269.99 ",22," $27,939.78 ",430
640,Dell,XPS 9315 Laptop,13.4 Inches,Platinum Silver,1000 GB,Core i7,32 GB,Windows 11 Home,N/A,Integrated,Intel Integrated Graphics,N/A,0, $389.99 ,14," $5,459.86 ",97
641,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0, $299.95 ,12," $3,599.40 ",303
642,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5, $283.55 ,29," $8,222.95 ",174
643,HP,HP Notebook,15.6 Inches,Black,128 GB,Celeron,8 GB,Windows 11,N/A,Integrated,Intel UHD Graphics 600,N/A,3.9, $999.99 ,25," $24,999.75 ",151
644,SAMSUNG,Galaxy Book Odyssey,15.6 Inches,Mystic Black,512 GB,Core i7,16 GB,Windows 11 Home,HD Audio,Dedicated,N/A,N/A,4.1, $999.99 ,57," $56,999.43 ",528
645,Dell,Precision 7000,17.3 Inches,N/A,512 GB,Core i7,32 GB,Windows 11 Pro,Anti-glare Screen,RTX A1000,NVIDIA RTX A1000,N/A,0, $589.99 ,36," $21,239.64 ",197
646,Dell,Latitude,14.1 Inches,Black,300 GB,Core 2 Duo P8700,2 GB,Windows 7,N/A,Integrated,Integrated Intel Graphic,N/A,3.6, $938.00 ,21," $19,698.00 ",271
647,Gateway,N/A,14 Inches,Black,64 GB,Celeron N4020,4 GB,"Windows 10 S, Windows 10",N/A,Integrated,Intel,1.1 GHz,4.2, $199.99 ,15," $2,999.85 ",145
648,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0, $639.99 ,51," $32,639.49 ",483
649,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5," $4,000.00 ",58," $2,32,000.00 ",486
650,acer,PT14-51-78B4,14 Inches,Silver,512 GB,Intel Core i7,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard, Memory Card Slot",Dedicated,N/A,N/A,2.5, $459.99 ,53," $24,379.47 ",287
651,ASUS,N/A,14 Inches,Rose Gold,320 GB,Celeron N4020,4 GB,Windows 11,Narrow Bezel,Integrated,Intel UHD Graphics 600,N/A,4.3, $389.99 ,63," $24,569.37 ",372
652,Dell,XPS 9510 Laptop,15.6 Inches,Platinum Silver,1000 GB,Core i9,64 GB,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 3050 Ti,N/A,N/A,0," $1,149.00 ",57," $65,493.00 ",474
653,Lenovo,ThinkPad P16s G1,16 Inches,N/A,1 TB,Ryzen 5,32 GB,Windows 11 Pro,Anti-glare Screen,Radeon 680M,AMD Radeon 680M,N/A,0, $836.99 ,19," $15,902.81 ",169
654,acer,AV14-51-58XZ,14 Inches,N/A,512 GB,Core i5,16 GB,Windows 11 Home,N/A,Integrated,N/A,4.4 GHz,4.8," $1,180.17 ",44," $51,927.48 ",492
655,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0," $1,449.99 ",14," $20,299.86 ",361
656,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5," $2,229.00 ",44," $98,076.00 ",164
657,Dell,i3493-3464BLK-PUS,14 Inches,Black,128 GB,Core i3-1005G1,4 GB,Windows 10,N/A,Integrated,Intel UHD Graphics,N/A,4.3, $589.99 ,30," $17,699.70 ",137
658,Lenovo,Lenovo,11.6 Inches,Blizzard White,32 GB,N/A,4 GB,Chrome OS,N/A,Integrated,GX6250,N/A,4.4, $459.99 ,38," $17,479.62 ",384
659,Dell,Dell Inspiron,15.6 Inches,N/A,2000 GB,Core i5,8 GB,Windows 10,N/A,Integrated,Intel HD Graphics 620,3.4 GHz,3.5," $2,799.00 ",48," $1,34,352.00 ",139
660,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0, $389.99 ,53," $20,669.47 ",379
661,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5," $2,599.00 ",53," $1,37,747.00 ",341
662,HP,EliteBook 830 G9,13.3 Inches,N/A,256 GB,Core i5,16 GB,Windows 11 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,N/A,0, $459.99 ,49," $22,539.51 ",155
663,Dell,Latitude 5000,14 Inches,Gray,512 GB,Core i5,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,N/A,N/A,5, $645.99 ,20," $12,919.80 ",406
664,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0," $3,178.99 ",61," $1,93,918.39 ",461
665,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5," $2,354.99 ",24," $56,519.76 ",133
666,Lenovo,N/A,14 Inches,N/A,512 GB,Intel Core i5,20 GB,Windows 11 Home,"Anti-glare,Fingerprint Reader",Integrated,Intel Iris Xe Graphics,2.8 GHz,5, $225.82 ,18," $4,064.76 ",256
667,Dell,Latitude 5440,14 Inches,N/A,1 TB,Core i7 Family,32 GB,Windows 11 Pro,"Anti-glare,Backlit Keyboard",Integrated,intel,N/A,0," $2,891.99 ",13," $37,595.87 ",279
668,Toughbook,CF-20,10.1 Inches,black/white,128 GB,core_m,8 GB,Windows 10 Pro,N/A,Integrated,N/A,N/A,4.5, $589.99 ,48," $28,319.52 ",295
669,Dell,Latitude 5000,14 Inches,Gray,256 GB,Core i5,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,N/A,N/A,5, $459.99 ,42," $19,319.58 ",523
670,Dell,Dell Latitude,15.6 Inches,Black,N/A,N/A,16 GB,Windows 10 Pro,N/A,Dedicated,NVIDIA GeForce 940MX,2.9 GHz,3.4, $807.99 ,15," $12,119.85 ",111
671,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0, $389.99 ,14," $5,459.86 ",121
672,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5, $639.99 ,61," $39,039.39 ",382
673,Lenovo,ThinkPad L13 Gen 3,13.3 Inches,N/A,256 GB,Ryzen 5,8 GB,Windows 11 Pro,Information Not Available,Radeon Graphics,AMD Radeon Graphics,N/A,0," $1,201.13 ",62," $74,470.06 ",499
674,Lenovo,ThinkPad P16 G1,16 Inches,Storm Grey,2 TB,Intel Core i7,64 GB,Windows 10 Pro,"Backlit Keyboard,Fingerprint",Dedicated,N/A,N/A,0, $921.16 ,36," $33,161.76 ",469
675,Dell,Precision 5000,17 Inches,Titan Gray,512 GB,Core i7,32 GB,Windows 10 Pro,"InfinityEdge, Anti-glare Screen",RTX A3000,N/A,N/A,0, $589.99 ,61," $35,989.39 ",167
676,acer,N/A,N/A,N/A,N/A,N/A,4 GB,"Windows 11 Pro, Windows",N/A,Integrated,Intel HD Graphics 400,N/A,0," $1,715.63 ",13," $22,303.19 ",333
677,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0, $589.99 ,50," $29,499.50 ",180
678,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5," $1,699.00 ",61," $1,03,639.00 ",540
679,Dell,N/A,11.6 Inches,N/A,N/A,Celeron,4 GB,Chrome OS,N/A,Integrated,Intel UHD Graphics,1.1 GHz,0," $1,059.67 ",31," $32,849.77 ",319
680,acer,A515-44-R41B,15.6 Inches,Silver,256 GB,Ryzen 5 4500U,8 GB,Windows 10 Home,Backlit Keyboard,Integrated,N/A,N/A,4.5, $432.99 ,12," $5,195.88 ",426
681,Dell,XPS 9350,13.3 Inches,Machined Aluminum,256 GB,Core i7,8 GB,Windows 10,N/A,"Integrated, Dedicated",Intel HD Graphics 5500,N/A,3.8, $809.00 ,57," $46,113.00 ",465
682,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0," $1,244.95 ",33," $41,083.35 ",139
683,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5, $899.99 ,27," $24,299.73 ",149
684,Lenovo,ThinkBook 14 G4 IAP,14 Inches,N/A,512 GB,Core i7,8 GB,Windows 11,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,N/A,0," $1,647.30 ",19," $31,298.70 ",392
685,acer,TravelMate P6 P614-52,14 Inches,Galaxy Black,1 TB,Core i7 Family,16 GB,Windows 10 Pro,Multi-touch Gesture,Iris Xe Graphics,N/A,N/A,0," $1,588.42 ",49," $77,832.58 ",499
686,ASUS,Asus ZenBook 13,13.3 Inches,Slate Grey,512 GB,Intel Core i5,8 GB,Windows 10 Home,"Backlit Kb,Bezel,Fingerprint",Integrated,N/A,N/A,4.4, $942.99 ,32," $30,175.68 ",444
687,ASUS,Vivobook 14X,14 Inches,Indie Black,512 GB,Core i5,8 GB,Windows 11 Home,N/A,Dedicated,NVIDIA GeForce RTX 2050,N/A,5, $647.99 ,57," $36,935.43 ",447
688,Microsoft,Surface Laptop Go 2,12.4 Inches,Sage,256 GB,Intel Core i5-1135G7,8 GB,Windows 10 S,N/A,Integrated,Intel Iris,N/A,0, $361.65 ,41," $14,827.65 ",442
689,ROKC,N/A,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,5," $1,799.00 ",23," $41,377.00 ",351
690,HP,N/A,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,4.4, $248.98 ,46," $11,453.08 ",451
691,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,N/A,Integrated,Intel,N/A,0, $899.99 ,38," $34,199.62 ",522
692,Lenovo,N/A,15.6 Inches,N/A,N/A,N/A,8 GB,N/A,Backlit Keyboard,Dedicated,N/A,N/A,4.8, $389.99 ,29," $11,309.71 ",413
693,Dell,Latitude 5530,15.6 Inches,N/A,512 GB,Core i7 Family,32 GB,Windows 11 Pro,Anti-glare,N/A,Intel Iris Xe Graphics,4.7 GHz,0," $1,599.00 ",31," $49,569.00 ",415
694,LG,16Z90Q-K.AAS6U1,16 Inches,Gray,512 GB,Core i5,16 GB,Windows 11 Home,Lightweight,Dedicated,N/A,N/A,4.1, $459.99 ,64," $29,439.36 ",358
695,HP,Chromebook,14 Inches,Snow White,32 GB,Celeron,4 GB,Chrome OS,"Speakers: Stereo, Keyboard: Chiclet,",Integrated,N/A,N/A,4.4, $299.00 ,53," $15,847.00 ",327
696,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,N/A,Integrated,Intel,N/A,0," $1,599.00 ",31," $49,569.00 ",242
697,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0, $389.99 ,39," $15,209.61 ",506
698,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5, $745.99 ,50," $37,299.50 ",483
699,Lenovo,ThinkPad X1 Carbon Gen 10,14 Inches,Black,512 GB,Core i7,16 GB,Windows 11,Anti-glare Screen,Iris Xe Graphics,N/A,N/A,2, $589.99 ,20," $11,799.80 ",483
700,acer,CB5-132T-C67Q,11.6 Inches,Blue,N/A,8032,4 GB,Chrome OS,Memory Card Slot,Integrated,intergrated,N/A,4.4," $2,636.99 ",53," $1,39,760.47 ",331
701,ROKC,N/A,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,5, $713.99 ,14," $9,995.86 ",476
702,HP,N/A,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,4.4, $389.99 ,57," $22,229.43 ",474
703,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,N/A,Integrated,Intel,N/A,0," $2,152.78 ",53," $1,14,097.34 ",485
704,Dell,Latitude 7000,14 Inches,Carbon Fiber,256 GB,Core i5,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,N/A,N/A,0," $1,699.00 ",36," $61,164.00 ",327
705,Panasonic,CF-54,14 Inches,Silver/Black,256 GB,Core i5,8 GB,Windows 10,Touchscreen,"Integrated, Dedicated",N/A,N/A,3.8, $412.98 ,58," $23,952.84 ",340
706,ASUS,ASUS Chromebook CX1,11.6 Inches,Transparent Silver,N/A,Celeron,4 GB,Chrome OS,Anti-glare,Integrated,N/A,2.8 GHz,1," $2,756.99 ",38," $1,04,765.62 ",399
707,ASUS,ASUS VivoBook,17.3 Inches,Silver,1 TB,Intel Core i5,12 GB,Windows 11,N/A,"Intel HD Graphics 5000, Integrated",Intel HD Graphics 5000,N/A,4," $1,599.00 ",64," $1,02,336.00 ",191
708,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,N/A,Integrated,Intel,N/A,0," $1,149.00 ",28," $32,172.00 ",205
709,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0," $1,419.92 ",46," $65,316.32 ",360
710,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5, $415.99 ,35," $14,559.65 ",509
711,Dell,Latitude 5310 Multi-Touch 2-in-1,13.3 Inches,N/A,256 GB,Core i5,8 GB,Windows 10 Pro,N/A,Integrated,Intel UHD Graphics,1.7 GHz,0," $1,166.97 ",25," $29,174.25 ",207
712,HP,EliteBook 650 G9,15.6 Inches,N/A,256 GB,Core i5,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,N/A,0, $811.39 ,64," $51,928.96 ",431
713,Dell,Precision Workstation 5770,17 Inches,Silver,1 TB,Intel Core i9,32 GB,Windows 11 Pro,Backlit Keyboard,Dedicated,N/A,N/A,0, $389.99 ,56," $21,839.44 ",508
714,Lenovo,Lenovo Thinkpad,14 Inches,Black,N/A,Core i7-8650U,16 GB,Windows 10 Pro,N/A,N/A,N/A,N/A,4.3, $389.99 ,39," $15,209.61 ",482
715,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0, $864.99 ,23," $19,894.77 ",266
716,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5," $1,599.00 ",60," $95,940.00 ",551
717,Lenovo,ThinkPad P14s Gen 3,14 Inches,Black,512 GB,Ryzen 7,32 GB,Windows 11,"Anti-reflection, Anti-smudge",Radeon 680M Graphics,N/A,N/A,0," $3,498.77 ",36," $1,25,955.72 ",422
718,MSI,N/A,15.6 Inches,N/A,N/A,N/A,64 GB,N/A,N/A,N/A,N/A,3.5 GHz,5, $589.99 ,44," $25,959.56 ",269
719,Lenovo,IdeaPad 3 15ITL6,15.6 Inches,Arctic Gray,256 GB,Pentium,4 GB,Windows 10 Home,Anti-glare Screen,UHD Graphics,N/A,N/A,5, $639.99 ,60," $38,399.40 ",490
720,HP,HP 14,14 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,N/A,Integrated,Intel,N/A,0," $1,699.00 ",54," $91,746.00 ",481
721,Microsoft,LQS-00038,13.5 Inches,Cobalt,N/A,Core i5 8400T,8 GB,Windows 10 Home,N/A,Integrated,N/A,1.3 GHz,4.4," $4,736.68 ",12," $56,840.16 ",287
722,Dell,DELL Latitude 5300,13.3 Inches,N/A,512 GB,Core i5 8250U,16 GB,Windows 10 Pro,Speakers,Integrated,Intel Integrated Graphics,N/A,4.2, $389.99 ,50," $19,499.50 ",451
723,ROKC,N/A,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,5," $1,933.99 ",41," $79,293.59 ",343
724,HP,N/A,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,4.4, $999.99 ,43," $42,999.57 ",235
725,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,N/A,Integrated,Intel,N/A,0, $589.99 ,47," $27,729.53 ",337
726,ASUS,VivoBook Pro 16X,16 Inches,Black,1 TB,Core i7,32 GB,Windows 11 Home,"Fingerprint Reader, High Definition Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",RTX 3050 Ti,N/A,N/A,3.3," $1,779.95 ",43," $76,537.85 ",338
727,LG,16Z90P-K.AAB9U1,16 Inches,Black,1 TB,Core i7 Family,16 GB,Windows 11,Alexa,Integrated,N/A,N/A,4.5, $334.99 ,21," $7,034.79 ",259
728,Panasonic,CF-31 MK5,13.1 Inches,Silver/Black,480 GB,Core i5 5300U,8 GB,Windows 10,Anti-glare,Integrated,N/A,N/A,5, $389.99 ,14," $5,459.86 ",172
729,Acer,N/A,N/A,N/A,1 TB,N/A,16 GB,Windows,N/A,Dedicated,NVIDIA GeForce RTX 4050,N/A,0," $1,139.00 ",56," $63,784.00 ",530
730,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,N/A,Integrated,Intel,N/A,0," $1,599.00 ",47," $75,153.00 ",410
731,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0, $724.00 ,54," $39,096.00 ",425
732,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5, $221.41 ,57," $12,620.37 ",408
733,Lenovo,ThinkPad E570,15.6 Inches,Black,256 GB,Core i5,8 GB,Windows 10 Professional 64-bit,Fingerprint Reader,Integrated,N/A,N/A,3.5," $1,599.00 ",35," $55,965.00 ",166
734,Dell,Latitude,15.6 Inches,Black,2 TB,Core i7 Family,64 GB,Windows 11 Pro,N/A,Integrated,Intel Iris Xe Graphics,N/A,5," $2,389.99 ",14," $33,459.86 ",318
735,Dell,Latitude 7320 Detachable 2-in-1,13 Inches,Black,256 GB,Core i5,8 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,N/A,N/A,1, $589.99 ,39," $23,009.61 ",255
736,Dell,7520,15.6 Inches,Black,256 GB,Core i7,32 GB,Windows 10 Pro,TrackPoint,"Integrated, Dedicated",N/A,N/A,0," $1,828.44 ",18," $32,911.92 ",415
737,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0, $586.14 ,34," $19,928.76 ",341
738,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5, $459.99 ,62," $28,519.38 ",408
739,ASUS,ASUS Vivobook 16 Laptop,16 Inches,Quiet Blue,512 GB,Ryzen 7 5800H,12 GB,Windows 11 Home,N/A,Integrated,AMD Radeon Graphics,N/A,0, $679.99 ,38," $25,839.62 ",291
740,Dell,Dell Inspiron,13.3 Inches,Era Gray,256 GB,N/A,8 GB,Windows 10 Home,"Backlit Keyboard,Spill-resistant",AMD Radeon,N/A,N/A,3.7, $589.99 ,36," $21,239.64 ",264
741,Lenovo,20VK0019US,13.3 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Pro,"Fingerprint Reader,Pen",Integrated,N/A,N/A,3.7," $2,719.00 ",25," $67,975.00 ",400
742,Dell,Alienware m17 Ryzen Edition R5 Laptop,17.3 Inches,Dark Side of the Moon,512 GB,AMD Ryzen 7,12 GB,Windows 11 Home,N/A,Dedicated,NVIDIA GeForce RTX 3060,N/A,0, $977.47 ,39," $38,121.33 ",430
743,Panasonic,Panasonic Toughbook,13.1 Inches,Silver/Black,1 TB,Core i5,16 GB,Windows 10,Backlit Keyboard,Integrated,N/A,N/A,4.2, $380.09 ,22," $8,361.98 ",428
744,Dell,G15 5521 Laptop,15.6 Inches,Black,1000 GB,Core i9,16 GB,Windows 10 Home,N/A,Integrated,NVIDIA GeForce RTX 3070 Ti,N/A,0, $969.99 ,14," $13,579.86 ",179
745,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0, $389.99 ,31," $12,089.69 ",528
746,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5," $2,142.99 ",28," $60,003.72 ",527
747,Dell,Latitude 7320 Detachable 2-in-1,13 Inches,Black,1000 GB,Core i5,16 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,N/A,N/A,0, $954.94 ,21," $20,053.74 ",197
748,Dell,Precision 7770,17 Inches,N/A,512 GB,Intel Core i9,32 GB,Windows 11 Pro,Anti-glare,Dedicated,NVIDIA RTX A5500 16GB GDDR6,N/A,0, $589.99 ,24," $14,159.76 ",327
749,Lenovo,Chromebook,14 Inches,Gray,32 MB,N/A,4 GB,Chrome OS,Backlit Keyboard,Integrated,AMD Radeon R5,N/A,4.1, $939.19 ,65," $61,047.35 ",159
750,Dell,Latitude 7440,14 Inches,N/A,512 GB,Intel Core i7,32 GB,Windows 11 Pro,Anti-glare,Integrated,Intel Iris Xe Graphics,N/A,0," $1,419.99 ",20," $28,399.80 ",124
751,Dell,Latitude Rugged 5430 Laptop,14 Inches,Silver,1000 GB,Core i5,16 GB,Windows 11 Pro,N/A,Integrated,Intel Integrated Graphics,N/A,5, $639.99 ,30," $19,199.70 ",308
752,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0," $1,666.47 ",13," $21,664.11 ",291
753,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5, $992.99 ,15," $14,894.85 ",454
754,HP,N/A,11.6 Inches,N/A,N/A,Celeron,4 GB,Chrome OS,N/A,Integrated,N/A,1.6 GHz,3.9, $379.99 ,62," $23,559.38 ",326
755,ASUS,ASUS VivoBook 17X,17.3 Inches,Blue,512 GB,Ryzen 7 5800H,8 GB,Windows 11 Home,Fingerprint Sensor,Integrated,N/A,N/A,3.8, $899.99 ,16," $14,399.84 ",188
